,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
59,Beidao,CN,2022-07-15 19:46:42,34.5686,105.8933,69.89,84,100,2.77,overcast clouds
60,Tiksi,RU,2022-07-15 19:46:42,71.6872,128.8694,39.54,90,99,7.58,overcast clouds
61,Buraydah,SA,2022-07-15 19:46:43,26.326,43.975,97.25,11,87,11.7,overcast clouds
62,San Patricio,US,2022-07-15 19:46:43,28.017,-97.5169,91.26,57,100,11.65,overcast clouds
63,Bengkulu,ID,2022-07-15 19:46:44,-3.8004,102.2655,75.6,89,100,3.78,overcast clouds
64,Hobart,AU,2022-07-15 19:45:30,-42.8794,147.3294,45.27,87,40,9.22,moderate rain
65,Cape Town,ZA,2022-07-15 19:46:07,-33.9258,18.4232,62.38,82,0,4.0,clear sky
66,Caravelas,BR,2022-07-15 19:46:44,-17.7125,-39.2481,73.2,73,5,6.08,clear sky
67,San Cristobal,VE,2022-07-15 19:46:45,7.7669,-72.225,75.38,60,35,5.53,scattered clouds
68,Bayshore Gardens,US,2022-07-15 19:46:45,27.4253,-82.5904,96.19,51,0,8.05,clear sky
69,Isangel,VU,2022-07-15 19:46:46,-19.55,169.2667,71.51,73,100,18.43,overcast clouds
70,Pilar,BR,2022-07-15 19:46:46,-9.5972,-35.9567,80.53,90,9,6.2,clear sky
71,Mahebourg,MU,2022-07-15 19:44:12,-20.4081,57.7,68.29,94,75,19.57,broken clouds
72,Souillac,MU,2022-07-15 19:46:47,-20.5167,57.5167,68.38,94,75,19.57,light rain
73,Shadrinsk,RU,2022-07-15 19:46:47,56.0852,63.6335,66.69,90,100,3.22,light rain
74,Kayan,MM,2022-07-15 19:46:47,16.9056,96.5631,78.94,90,100,2.98,overcast clouds
75,Saldanha,ZA,2022-07-15 19:42:55,-33.0117,17.9442,55.45,79,100,8.43,overcast clouds
76,Kaeo,NZ,2022-07-15 19:46:48,-35.1,173.7833,52.5,78,99,6.69,overcast clouds
77,Quatre Cocos,MU,2022-07-15 19:46:48,-20.2078,57.7625,68.11,80,94,16.89,light rain
78,Aykino,RU,2022-07-15 19:46:49,62.2248,49.9922,64.31,98,100,4.07,overcast clouds
79,Rio Grande,BR,2022-07-15 19:46:49,-32.035,-52.0986,66.31,98,71,10.49,broken clouds
80,Norman Wells,CA,2022-07-15 19:46:49,65.282,-126.8329,55.44,67,75,6.91,broken clouds
81,Hasaki,JP,2022-07-15 19:46:50,35.7333,140.8333,73.8,97,96,6.02,overcast clouds
82,Muncar,ID,2022-07-15 19:46:50,-8.4333,114.3333,75.63,91,62,4.36,broken clouds
83,Nishihara,JP,2022-07-15 19:46:51,26.1842,127.7558,82.45,97,100,17.9,mist
84,Mareeba,AU,2022-07-15 19:46:51,-17.0,145.4333,59.72,95,88,2.86,light rain
85,Thompson,CA,2022-07-15 19:46:51,55.7435,-97.8558,82.56,32,20,19.57,smoke
86,Kahului,US,2022-07-15 19:45:21,20.8947,-156.47,85.96,63,40,19.57,scattered clouds
87,East London,ZA,2022-07-15 19:46:52,-33.0153,27.9116,60.33,73,3,11.74,clear sky
88,Cayenne,GF,2022-07-15 19:46:52,4.9333,-52.3333,77.09,1,75,4.61,moderate rain
89,Guerrero Negro,MX,2022-07-15 19:46:53,27.9769,-114.0611,77.31,57,11,15.68,few clouds
90,Coihaique,CL,2022-07-15 19:54:29,-45.5752,-72.0662,33.75,69,75,3.44,broken clouds
91,Kedrovyy,RU,2022-07-15 19:54:29,56.1667,91.8167,43.21,91,50,2.66,scattered clouds
92,Kodiak,US,2022-07-15 19:54:29,57.79,-152.4072,58.44,84,100,3.56,overcast clouds
93,Cabo San Lucas,MX,2022-07-15 19:51:18,22.8909,-109.9124,89.62,61,3,8.88,clear sky
94,Nazret,ET,2022-07-15 19:54:30,8.55,39.2667,62.92,80,94,7.25,overcast clouds
95,Kushnarenkovo,RU,2022-07-15 19:54:30,55.105,55.3508,61.0,93,63,10.2,broken clouds
96,Maneadero,MX,2022-07-15 19:54:31,31.7167,-116.5667,73.09,76,21,4.0,few clouds
97,Buala,SB,2022-07-15 19:47:55,-8.145,159.5921,78.31,83,76,4.85,broken clouds
98,Kamareddi,IN,2022-07-15 19:47:55,18.3167,78.35,73.8,88,100,14.05,overcast clouds
99,Sagua La Grande,CU,2022-07-15 19:47:56,22.8067,-80.0756,88.79,57,45,9.6,scattered clouds
100,Hilo,US,2022-07-15 19:46:10,19.7297,-155.09,84.25,71,100,4.61,overcast clouds
101,Orlovskiy,RU,2022-07-15 19:47:56,46.8714,42.0592,71.26,43,0,4.25,clear sky
102,Necochea,AR,2022-07-15 19:45:22,-38.5473,-58.7368,50.34,91,98,11.25,overcast clouds
103,Rabaul,PG,2022-07-15 19:47:57,-4.1967,152.1721,78.15,81,100,11.12,overcast clouds
104,Tasiilaq,GL,2022-07-15 19:54:32,65.6145,-37.6368,41.65,76,100,16.53,light rain
105,Butaritari,KI,2022-07-15 19:47:57,3.0707,172.7902,81.68,81,100,18.5,moderate rain
106,Henties Bay,NA,2022-07-15 19:47:58,-22.116,14.2845,69.24,40,0,7.43,clear sky
107,Havre-Saint-Pierre,CA,2022-07-15 19:47:58,50.2334,-63.5986,64.76,72,0,16.11,clear sky
108,Victoria,HK,2022-07-15 19:45:55,22.2855,114.1577,87.19,86,100,11.01,overcast clouds
109,Falun,SE,2022-07-15 19:47:59,60.6036,15.626,53.22,68,100,8.08,overcast clouds
110,Port Hawkesbury,CA,2022-07-15 19:47:59,45.6169,-61.3485,72.88,74,20,11.99,few clouds
111,San Quintin,MX,2022-07-15 19:48:00,30.4833,-115.95,73.74,66,3,13.6,clear sky
112,Arman,RU,2022-07-15 19:48:00,59.7,150.1667,62.02,87,82,2.93,broken clouds
113,Saint-Paul,RE,2022-07-15 19:48:01,-21.0096,55.2707,68.36,76,52,2.77,broken clouds
114,Ketchikan,US,2022-07-15 19:48:01,55.3422,-131.6461,55.87,94,100,4.61,light rain
115,Labuhan,ID,2022-07-15 19:45:17,-6.8844,112.2051,77.18,87,53,6.82,broken clouds
116,Dunedin,NZ,2022-07-15 19:47:36,-45.8742,170.5036,42.8,63,8,11.99,clear sky
117,Zaozerne,UA,2022-07-15 19:48:02,45.1582,33.2787,72.34,59,0,7.34,clear sky
118,Matara,LK,2022-07-15 19:48:02,5.9485,80.5353,76.21,92,66,8.52,broken clouds
119,Sinnamary,GF,2022-07-15 19:48:03,5.3833,-52.95,79.92,82,87,6.06,overcast clouds
120,Tortoli,IT,2022-07-15 19:48:03,39.9256,9.6572,78.62,78,0,8.05,clear sky
121,Antofagasta,CL,2022-07-15 19:48:04,-23.65,-70.4,60.08,68,0,6.71,clear sky
122,Upata,VE,2022-07-15 19:48:04,8.0086,-62.3989,78.91,89,96,1.16,overcast clouds
123,Moron,AR,2022-07-15 19:48:05,-34.6534,-58.6198,53.35,73,89,6.73,overcast clouds
124,Araxa,BR,2022-07-15 19:48:05,-19.5933,-46.9406,80.56,34,0,2.3,clear sky
125,Leningradskiy,RU,2022-07-15 19:48:06,69.3833,178.4167,40.12,70,100,5.28,overcast clouds
126,Saskylakh,RU,2022-07-15 19:48:06,71.9167,114.0833,49.17,65,34,1.9,scattered clouds
127,Biloela,AU,2022-07-15 19:48:06,-24.4167,150.5,49.35,88,0,7.36,clear sky
128,Dingle,PH,2022-07-15 19:48:07,10.9995,122.6711,76.42,91,96,0.76,overcast clouds
129,Lorengau,PG,2022-07-15 19:46:53,-2.0226,147.2712,79.7,80,100,9.53,overcast clouds
130,Casambalangan,PH,2022-07-15 19:48:07,18.3765,122.1274,81.0,86,98,6.02,overcast clouds
131,Elko,US,2022-07-15 19:48:08,41.0002,-115.5012,91.06,16,15,7.0,few clouds
132,Airai,TL,2022-07-15 19:46:55,-8.9266,125.4092,53.55,89,95,3.58,overcast clouds
133,Bavly,RU,2022-07-15 19:48:09,54.393,53.2602,61.0,93,61,12.12,broken clouds
